Zm00001eb000650	Transducin/WD40 repeat-like superfamily protein/Transducin/WD40 repeat-like superfamily protein/E3 ubiquitin-protein ligase RFWD3/RING-type domain-containing protein/
Zm00001eb040450	Protein kinase superfamily protein/Protein kinase superfamily protein/Serine/threonine-protein kinase RIPK/Root-specific kinase 1/Protein kinase APK1B/Protein kinase domain-containing protein/
Zm00001eb040490	F14D16.29/F14D16.29/Cupin_5 domain-containing protein/
Zm00001eb040520	Serine/threonine-protein phosphatase/Serine/threonine-protein phosphatase/Serine/threonine-protein phosphatase (EC 3.1.3.16)/
Zm00001eb040540	Cyclin-dependent kinase C-3/Cyclin-dependent kinase C-3/Cell division cycle 2-related protein kinase 7/Protein kinase domain-containing protein/
Zm00001eb040560	Dormancy-associated protein homolog 3/Dormancy-associated protein homolog 3/Dormancy-associated 3/Auxin-repressed protein (Dormancy-associated protein homolog 3)/Auxin-repressed protein/
Zm00001eb040570	Acetylserotonin O-methyltransferase 1/Acetylserotonin O-methyltransferase 1/OSJNBb0026E15.9-like protein/
Zm00001eb040680	SAUR33-auxin-responsive SAUR family member/SAUR33-auxin-responsive SAUR family member/Uncharacterized protein/
Zm00001eb040770	Formin-like protein 14/Formin-like protein 14/Formin-like protein/Formin-like protein 3/Formin-like protein 6/
Zm00001eb040800	Adenylyl cyclase-associated protein/Adenylyl cyclase-associated protein/Cyclase-associated protein 1/
Zm00001eb040860	Dentin sialophosphoprotein-related/Dentin sialophosphoprotein-related/Uncharacterized protein/
Zm00001eb041010	Scar-like domain-containing protein WAVE 5/Scar-like domain-containing protein WAVE 5/Uncharacterized protein/
Zm00001eb041070	AP2-like ethylene-responsive transcription factor/AP2-like ethylene-responsive transcription factor/Ethylene-responsive transcription factor WRI1/AP2-EREBP transcription factor/
Zm00001eb041100	Hydroxycinnamoyltransferase11/Hydroxycinnamoyltransferase11/Putrescine hydroxycinnamoyltransferase 1/Uncharacterized protein/Anthranilate N-benzoyltransferase protein 1 (Hydroxycinnamoyltransferase9)/Anthranilate N-benzoyltransferase protein 1/
Zm00001eb041170	Stromal cell-derived factor 2-like protein/Stromal cell-derived factor 2-like protein/Stromal cell-derived factor 2 (Stromal cell-derived factor 2-like protein)/
Zm00001eb041210	Uncharacterized protein/Uncharacterized protein/Cinnamoyl-CoA reductase 1/Mitochondrial glycoprotein (Mitochondrial glycoprotein family protein)/
Zm00001eb041220	Uncharacterized protein/Uncharacterized protein/DUF868 family protein/
Zm00001eb041340	60S ribosomal protein L34/60S ribosomal protein L34/60S ribosomal protein L34 (60S ribosomal protein L34-3)/
Zm00001eb041360	CAAX amino terminal protease family protein/CAAX amino terminal protease family protein/Putative apyrase 6/Uncharacterized protein/
Zm00001eb041410	Putative mannan synthase 7/Putative mannan synthase 7/Putative mannan synthase 11/
Zm00001eb041470	Polypyrimidine tract-binding protein homolog 1/Polypyrimidine tract-binding protein homolog 1/Polypyrimidine tract-binding 1/RRM_8 domain-containing protein/
Zm00001eb041580	Uncharacterized protein/Uncharacterized protein/Uncharacterized protein (Fragment)/Histone deacetylase HDT1/
Zm00001eb041610	Transcription factor AIG1/Transcription factor AIG1/Transcription factor bHLH30/
Zm00001eb041650	Agamous-like MADS-box protein AGL16/Agamous-like MADS-box protein AGL16/MADS-box transcription factor 23/
Zm00001eb041680	Uncharacterized protein/Uncharacterized protein/Gamma-glutamylcyclotransferase (EC 4.3.2.9)/Uncharacterized protein (Fragment)/
Zm00001eb041710	Gibberellin 20 oxidase 2/Gibberellin 20 oxidase 2/2-oxoglutarate-dependent dioxygenase DAO/
Zm00001eb041740	Formin-like protein/Formin-like protein/FH2 domain-containing protein/
Zm00001eb041750	Agenet domain-containing protein / bromo-adjacent homology (BAH) domain-containing protein/Agenet domain-containing protein / bromo-adjacent homology (BAH) domain-containing protein/DUF724 domain-containing protein 3/
Zm00001eb041760	Putative regulator of chromosome condensation (RCC1) family protein/Putative regulator of chromosome condensation (RCC1) family protein/Regulator of chromosome condensation (RCC1) family protein/Regulator of chromosome condensation3 (Fragment)/Regulator of chromosome condensation3/Ultraviolet-B receptor UVR8/
Zm00001eb041840	1-phosphatidylinositol-3-phosphate 5-kinase (EC 2.7.1.150)/1-phosphatidylinositol-3-phosphate 5-kinase (EC 2.7.1.150)/Putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1C/
Zm00001eb041850	High mobility group family A 102/High mobility group family A 102/HMG-Y-related protein A/HMGI/Y protein/HMG-Y-related protein A (ZmHMGA) (High mobility group A protein)/
Zm00001eb041860	Myb domain protein 85/Myb domain protein 85/Protein ODORANT1/Uncharacterized protein/
Zm00001eb042030	Cytochrome b5/Cytochrome b5/Cytochrome B5-like protein/Cytochrome b5 heme-binding domain-containing protein/
Zm00001eb042200	Metal ion binding protein/Metal ion binding protein/Heavy metal-associated isoprenylated plant protein 23/
Zm00001eb042250	Cytokinin-O-glucosyltransferase 2/Cytokinin-O-glucosyltransferase 2/UDP-glycosyltransferase 85A8/Uncharacterized protein/
Zm00001eb042280	S-adenosyl-L-methionine-dependent methyltransferase superfamily protein/S-adenosyl-L-methionine-dependent methyltransferase superfamily protein/Putative methyltransferase/Uncharacterized protein/S-adenosylmethionine-dependent methyltransferase/
Zm00001eb042350	Serine/threonine-protein kinase HT1/Serine/threonine-protein kinase HT1/Protein kinase/Protein kinase superfamily protein/
Zm00001eb042400	Homeobox-leucine zipper protein HOX5/Homeobox-leucine zipper protein HOX5/Homeodomain leucine zipper protein CPHB-5/HB transcription factor (Homeobox-leucine zipper protein HAT5)/
Zm00001eb042450	Nucleobase-ascorbate transporter 6/Nucleobase-ascorbate transporter 6/Permease/
Zm00001eb042590	Tetratricopeptide repeat (TPR)-like superfamily protein/Tetratricopeptide repeat (TPR)-like superfamily protein/Tetratricopeptide repeat (TPR)-like superfamily protein (Fragment)/Pre-mRNA-processing factor 39/
Zm00001eb042630	Protein kinase superfamily protein/Protein kinase superfamily protein/Protein kinase domain-containing protein/
Zm00001eb042730	Iron-sulfur assembly protein IscA-like 2, mitochondrial/
Zm00001eb042750	Multiprotein-bridging factor 1a/Multiprotein-bridging factor 1a/Endothelial differentiation-related factor 1 (MBF1 transcription factor) (Multiprotein-bridging factor 1a)/Endothelial differentiation-related factor 1/
Zm00001eb042760	Putative mediator of RNA polymerase II transcription subunit 19b/Putative mediator of RNA polymerase II transcription subunit 19b/Mediator of RNA polymerase II transcription subunit 19a/Uncharacterized protein/
Zm00001eb042770	Dicer-like 103/Dicer-like 103/Dicer-like 101/RNAse II-like 1/Dicer-like 104/Ribonuclease 3-like protein 3/Uncharacterized protein/Endoribonuclease Dicer/RNase III domain-containing protein/
Zm00001eb042900	Uncharacterized conserved protein UCP031088 alpha/beta hydrolase/Uncharacterized conserved protein UCP031088 alpha/beta hydrolase/Hydrolase_4 domain-containing protein/Uncharacterized protein/
Zm00001eb043000	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 2/Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 2/Phosphofructose kinase2/Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha/Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha (PFP) (6-phosphofructokinase, pyrophosphate dependent) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)/
Zm00001eb043120	L-gulonolactone oxidase (EC 1.1.3.8)/L-gulonolactone oxidase (EC 1.1.3.8)/Putative L-gulonolactone oxidase 6/
Zm00001eb043150	Sugar carrier protein C/Sugar carrier protein C/MFS domain-containing protein/Sugar transport protein 1/
Zm00001eb043220	Endonuclease/exonuclease/phosphatase family protein/Endonuclease/exonuclease/phosphatase family protein/Tyrosyl-DNA phosphodiesterase 2/Endo/exonuclease/phosphatase domain-containing protein/
Zm00001eb043360	Uncharacterized protein/Uncharacterized protein/F-box domain containing protein/
Zm00001eb043390	Molybdate-anion transporter/Molybdate-anion transporter/Uncharacterized protein/Major facilitator superfamily protein/
Zm00001eb043420	Protein kinase superfamily protein/Protein kinase superfamily protein/Serine/threonine-protein kinase fray2/Uncharacterized protein/
Zm00001eb043440	Cytochrome b5 isoform E/Cytochrome b5 isoform E/Cytochrome b5/Cytochrome b5 (Cytochrome b5 isoform E)/
Zm00001eb043620	Cytochrome P450 family 87 subfamily A polypeptide 6/Cytochrome P450 family 87 subfamily A polypeptide 6/Cytochrome P450 89A2/Transposon protein/Uncharacterized protein/
Zm00001eb043650	Tasselless1/Tasselless1/Aquaporin NIP3-1/Uncharacterized protein/Aquaporin NIP3-1 (NOD26-like intrinsic protein 3-1) (ZmNIP3-1) (ZmNIP3;1)/
Zm00001eb043670	Uncharacterized protein/Uncharacterized protein/Uncharacterized protein (Fragment)/
Zm00001eb043680	Kinesin-like protein KIN-7D mitochondrial/Kinesin-like protein KIN-7D mitochondrial/Kinesin-like protein/Kinesin-like protein KIN-7K, chloroplastic/
Zm00001eb043690	SH3 domain-containing protein 2/SH3 domain-containing protein 2/Clathrin binding protein/SH3 domain-containing protein/
Zm00001eb043730	Prolyl carboxypeptidase like protein/Prolyl carboxypeptidase like protein/Putative serine protease EDA2/Uncharacterized protein/
Zm00001eb043820	HR-like lesion-inducing protein-related/HR-like lesion-inducing protein-related/Cardiolipin synthase (CMP-forming), mitochondrial/
Zm00001eb043850	CRP3-Cysteine-rich family protein expressed/CRP3-Cysteine-rich family protein expressed/Uncharacterized protein/
Zm00001eb043920	Methionine aminopeptidase/Methionine aminopeptidase/Methionine aminopeptidase 1A/Methionine aminopeptidase (EC 3.4.11.18)/
Zm00001eb043940	Protein YABBY 3/Protein YABBY 3/Axial regulator YABBY1/C2C2-YABBY-transcription factor 12 (Yabby10 protein)/
Zm00001eb043960	Monocopper oxidase-like protein SKU5/Monocopper oxidase-like protein SKU5/Uncharacterized protein/C-terminal peptide-binding protein 1/
Zm00001eb044020	Uncharacterized protein/Uncharacterized protein/Putative disease resistance RPP13-like protein 1/Putative disease resistance protein RGA3/Putative rp3 protein/
Zm00001eb044040	Tetratricopeptide repeat (TPR)-like superfamily protein/Tetratricopeptide repeat (TPR)-like superfamily protein/Uncharacterized protein/SET and MYND domain-containing protein 4/SET domain-containing protein/
Zm00001eb044060	Copper transport protein family/Copper transport protein family/Heavy metal-associated isoprenylated plant protein 39/
Zm00001eb044100	Transmembrane ascorbate ferrireductase 1/Transmembrane ascorbate ferrireductase 1/Putative ascorbate-specific transmembrane electron transporter 1/Protein SHORTAGE IN CHIASMATA 1/Cytochrome b561/
Zm00001eb044130	DEAD-box ATP-dependent RNA helicase 8/DEAD-box ATP-dependent RNA helicase 8/DEAD-box ATP-dependent RNA helicase 12/ATP-dependent RNA helicase dhh1 (DEAD-box ATP-dependent RNA helicase 8)/
Zm00001eb044140	DEAD-box ATP-dependent RNA helicase 8/DEAD-box ATP-dependent RNA helicase 8/Tetraspanin-10/Uncharacterized protein/
Zm00001eb044170	Folylpolyglutamate synthetase2/Folylpolyglutamate synthetase2/Folylpolyglutamate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)/Folylpolyglutamate synthase/
Zm00001eb044210	Glutamyl-tRNA reductase (EC 1.2.1.70)/Glutamyl-tRNA reductase (EC 1.2.1.70)/Glutamyl-tRNA reductase-like protein (Fragment)/
Zm00001eb044260	Calcium uniporter protein/Calcium uniporter protein/Calcium uniporter protein 4 mitochondrial/Heat shock protein 14/
Zm00001eb044280	1-phosphatidylinositol-4-phosphate 5-kinase (EC 2.7.1.68)/1-phosphatidylinositol-4-phosphate 5-kinase (EC 2.7.1.68)/Phosphatidylinositol 4-phosphate 5-kinase 9/Phosphatidylinositol 4-phosphate 5-kinase (EC 2.7.1.68)/
Zm00001eb044350	Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein/Uncharacterized protein/Pentatricopeptide repeat-containing protein mitochondrial (Tetratricopeptide-like helical)/
Zm00001eb044390	C2H2-type domain-containing protein/C2H2-type domain-containing protein/Uncharacterized protein/
Zm00001eb044420	Protein NEOXANTHIN-DEFICIENT 1/Protein NEOXANTHIN-DEFICIENT 1/Uncharacterized protein/
Zm00001eb044450	Uncharacterized protein/Uncharacterized protein/C2H2-type domain-containing protein/
Zm00001eb044470	Acetyltransferase/Acetyltransferase/Putative ribosomal-protein-alanine acetyltransferase/
Zm00001eb044640	WAPL (Wings apart-like protein regulation of heterochromatin) protein/WAPL (Wings apart-like protein regulation of heterochromatin) protein/WAPL domain-containing protein/
Zm00001eb044660	C2C2-DOF transcription factor (Dof zinc finger protein DOF1.6) (Fragment)/C2C2-DOF transcription factor (Dof zinc finger protein DOF1.6) (Fragment)/Dof zinc finger protein PBF/Dof-type domain-containing protein/
Zm00001eb044710	DNA-directed RNA polymerase (EC 2.7.7.6)/DNA-directed RNA polymerase (EC 2.7.7.6)/DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)/
Zm00001eb044740	Succinate dehydrogenase subunit 3-2, mitochondrial/
Zm00001eb044780	Flowering locus K homology domain/Flowering locus K homology domain/Nucleic acid binding protein/Uncharacterized protein/KH domain-containing protein/
Zm00001eb044790	Katanin p80 WD40 repeat-containing subunit B1 homolog/Katanin p80 WD40 repeat-containing subunit B1 homolog/Transducin/WD40 repeat-like superfamily protein/Transducin/WD40 repeat-like superfamily protein (Fragment)/
Zm00001eb044830	WAT1-related protein chloroplastic/WAT1-related protein chloroplastic/WAT1-related protein/
Zm00001eb044870	Ser/Thr protein phosphatase family/Ser/Thr protein phosphatase family/Metallophos domain-containing protein/
Zm00001eb044880	Tonoplast intrinsic protein3/Tonoplast intrinsic protein3/Aquaporin TIP3-2/Aquaporin TIP3.1/Aquaporin TIP3-2 (Tonoplast intrinsic protein 3-2) (ZmTIP3-2) (ZmTIP3;2)/
Zm00001eb045200	DNA ligase (EC 6.5.1.1)/DNA ligase (EC 6.5.1.1)/DNA ligase/
Zm00001eb045210	Protein arginine methyltransferase 6 (Fragment)/Protein arginine methyltransferase 6 (Fragment)/Uncharacterized protein/
Zm00001eb045320	Putative prefoldin subunit 5/Putative prefoldin subunit 5/Prefoldin subunit 5/
Zm00001eb045380	Dicer-like 102/Dicer-like 102/Dicer-like 102 (Fragment)/Dicer-like 104/Endoribonuclease Dicer 3b/
Zm00001eb045420	Protein EXECUTER 1 chloroplastic/Protein EXECUTER 1 chloroplastic/Protein EXECUTER 1, chloroplastic/
Zm00001eb045560	RING/U-box superfamily protein/RING/U-box superfamily protein/RING-CH-type domain-containing protein/
Zm00001eb045640	Auxin response factor 16/Auxin response factor 16/Auxin response factor/
Zm00001eb045730	Tetratricopeptide repeat (TPR)-like superfamily protein/Tetratricopeptide repeat (TPR)-like superfamily protein/Putative pentatricopeptide repeat-containing protein/Uncharacterized protein/
Zm00001eb045750	MATH domain containing protein (Orphans transcription factor) (Fragment)/MATH domain containing protein (Orphans transcription factor) (Fragment)/MATH domain containing protein/Uncharacterized protein/Ubiquitin carboxyl-terminal hydrolase 12/
Zm00001eb045760	MATH domain containing protein/MATH domain containing protein/Ubiquitin carboxyl-terminal hydrolase 13/MATH domain-containing protein/
Zm00001eb045790	Malate dehydrogenase (EC 1.1.1.37)/Malate dehydrogenase (EC 1.1.1.37)/Malate dehydrogenase (Fragment)/Malate dehydrogenase, cytoplasmic (EC 1.1.1.37)/
Zm00001eb045800	Protein G1-like5/Protein G1-like5/Protein G1-like4/Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 3/
Zm00001eb045910	Vacuolar protein sorting-associated protein 2 homolog 3/Vacuolar protein sorting-associated protein 2 homolog 3/Vacuolar protein sorting-associated protein 2 3/Charged multivesicular body protein 2b (Vacuolar protein sorting-associated protein 2 homolog 3)/
Zm00001eb045930	Casein kinase 1-like protein 6/Casein kinase 1-like protein 6/Casein kinase 1-like protein 6 (Fragment)/Casein kinase 1/
Zm00001eb045960	Long-chain-alcohol oxidase (EC 1.1.3.20)/Long-chain-alcohol oxidase (EC 1.1.3.20)/Uncharacterized protein/
Zm00001eb046020	Disease resistance RPP13-like protein 4/Disease resistance RPP13-like protein 4/Putative disease resistance protein RGA3/
Zm00001eb046040	Beta-glucosidase GBA2 type family protein/Beta-glucosidase GBA2 type family protein/Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)/Non-lysosomal glucosylceramidase/Uncharacterized protein/DUF608 domain-containing protein/
Zm00001eb046070	Uncharacterized protein/Uncharacterized protein/Calcium uptake protein, mitochondrial/
Zm00001eb046080	Cyclin-dependent kinase inhibitor1/Cyclin-dependent kinase inhibitor1/Cyclin-dependent kinase inhibitor/
Zm00001eb046090	Uncharacterized protein/Uncharacterized protein/Putative 60S ribosomal protein L14/
Zm00001eb046100	Transport protein particle (TRAPP) component/Transport protein particle (TRAPP) component/No pollen germination related 2/Protein NPGR2/
Zm00001eb046200	SH3 domain-containing protein/SH3 domain-containing protein/Aspartic proteinase A1/Aspartic proteinase oryzasin-1/Uncharacterized protein/
Zm00001eb046280	Zinc finger (C3HC4-type RING finger) family protein/Zinc finger (C3HC4-type RING finger) family protein/Uncharacterized protein sll0103/VWFA domain-containing protein/
